time,seconds_elapsed,relativeAltitude,pressure
1760790612789089300,-0.33591064453125,0,967.1825408935547
1760790613813259300,0.68825927734375,0.002655029296875,967.1824645996094
1760790614837418200,1.712418212890625,0,967.1825408935547
1760790615861636000,2.736635986328125,-0.01055908203125,967.1840667724609
1760790616885921300,3.76092138671875,-0.01055908203125,967.1840667724609
1760790617910176300,4.78517626953125,0.005279541015625,967.1820831298828
1760790618060331300,4.935331298828125,0.005279541015625,967.1820831298828
1760790619008788200,5.883788330078125,-0.0079345703125,967.1836090087891
1760790619957309200,6.83230908203125,-0.0079345703125,967.1836090087891
1760790620905861400,7.780861328125,0.013214111328125,967.1810913085938
1760790621854255000,8.729255126953126,0.021148681640625,967.1802520751953
1760790622802712300,9.67771240234375,0.029083251953125,967.1791839599609
1760790623751139000,10.62613916015625,0.042266845703125,967.1778869628906
1760790624699796200,11.574796142578125,0.042266845703125,967.1778869628906
1760790625648231200,12.523231201171875,0.042266845703125,967.1778869628906
1760790626596683300,13.471683349609375,0.03436279296875,967.1788024902344
1760790627545212200,14.420212158203125,0.03436279296875,967.1788024902344
1760790628493790200,15.368790283203126,0.029083251953125,967.1792602539062
1760790629442232300,16.317232421875,0.029083251953125,967.1792602539062
1760790630390707200,17.265707275390625,0.02642822265625,967.1797180175781
1760790631339125200,18.214125244140625,0.02642822265625,967.1797180175781
1760790632287435300,19.162435302734377,0.031707763671875,967.1791076660156
1760790633235894300,20.110894287109375,0.031707763671875,967.1790313720703
1760790634184385300,21.05938525390625,0.031707763671875,967.178955078125
1760790635132806400,22.007806396484376,0.039642333984375,967.1781158447266
1760790636081168100,22.956168212890624,0.068695068359375,967.1746063232422
1760790637029623300,23.904623291015625,0.0819091796875,967.1733856201172
1760790637978086100,24.853086181640624,0.08984375,967.1723937988281
1760790638926583300,25.801583251953126,0.105682373046875,967.1704864501953
1760790639874957300,26.749957275390624,0.134765625,967.1671295166016
1760790640823352300,27.698352294921875,0.19024658203125,967.16064453125
1760790641771669200,28.646669189453124,0.277435302734375,967.1506500244141
1760790642719869400,29.594869384765627,0.4412841796875,967.1315002441406
1760790643668062200,30.543062255859375,0.6341552734375,967.1094512939453
1760790644616392400,31.491392333984376,0.800628662109375,967.0899963378906
1760790645564585200,32.439585205078124,0.92218017578125,967.0758819580078
1760790646512651300,33.3876513671875,1.046356201171875,967.061767578125
1760790647460796400,34.33579638671875,1.075439453125,967.0581817626953
1760790648408930300,35.28393041992187,1.080718994140625,967.0577239990234
1760790649356856300,36.23185620117187,1.09393310546875,967.0562744140625
1760790650304995300,37.179995361328125,1.09393310546875,967.0562744140625
1760790651253066200,38.12806616210938,1.09393310546875,967.0562744140625
1760790652201105400,39.07610546875,1.09393310546875,967.0562744140625
1760790653149074400,40.024074462890624,1.09393310546875,967.0561218261719
1760790654096921000,40.971921142578125,1.1044921875,967.0548248291016
1760790655044741000,41.9197412109375,1.107147216796875,967.0546722412109
1760790655992414200,42.867414306640626,1.117706298828125,967.0533752441406
1760790656940145200,43.81514526367187,1.152069091796875,967.0493316650391
1760790657887869400,44.76286938476562,1.178466796875,967.0465087890625
1760790658835609000,45.710609130859375,1.2022705078125,967.0436096191406
1760790659783321300,46.6583212890625,1.233978271484375,967.0398712158203
1760790660731147300,47.60614721679688,1.25775146484375,967.0372772216797
1760790661678950400,48.553950439453125,1.268310546875,967.0359802246094
1760790662626677200,49.50167724609375,1.268310546875,967.0359802246094
1760790663574321200,50.449321044921874,1.255096435546875,967.0375823974609
1760790664522086400,51.39708642578125,1.17584228515625,967.0466613769531
1760790665469694500,52.34469458007813,1.07012939453125,967.0587921142578
1760790666417233200,53.29223315429687,0.94329833984375,967.0734405517578
1760790667364514300,54.23951440429688,0.8428955078125,967.0853424072266
1760790668311727400,55.18672729492187,0.771575927734375,967.0935821533203
1760790669258922200,56.13392211914063,0.771575927734375,967.0935821533203
1760790670206178300,57.08117822265625,0.77947998046875,967.0926666259766
1760790671153496300,58.02849633789062,0.819122314453125,967.0880126953125
1760790672100815400,58.9758154296875,0.829681396484375,967.0868682861328
1760790673048158200,59.923158203125,0.837615966796875,967.0857238769531
1760790673995358200,60.87035815429687,0.837615966796875,967.0857238769531
1760790674942469400,61.81746948242188,0.845550537109375,967.0848846435547
1760790675889613000,62.76461303710938,0.853485107421875,967.0838928222656
1760790676836629200,63.71162915039063,0.893096923828125,967.0795440673828
1760790677783562200,64.65856225585938,0.919525146484375,967.076416015625
1760790678730465300,65.60546533203124,0.938018798828125,967.0742797851562
1760790679677242400,66.55224243164062,0.961822509765625,967.0714569091797
1760790680624039200,67.4990390625,0.964447021484375,967.0709991455078
1760790681570858200,68.44585815429687,0.964447021484375,967.0709991455078
1760790682517704200,69.3927041015625,0.95916748046875,967.0716857910156
1760790683464456200,70.33945629882813,0.956512451171875,967.0722198486328
1760790684411113200,71.28611328125,0.9486083984375,967.0729827880859
1760790685357592300,72.23259228515624,0.9486083984375,967.0729827880859
1760790686304007200,73.17900708007812,0.964447021484375,967.0709991455078
1760790687250453200,74.12545336914063,0.985595703125,967.0687866210938
1760790688196847000,75.07184716796876,1.0067138671875,967.0661926269531
1760790689143360300,76.0183603515625,1.0067138671875,967.0661926269531
1760790690089797400,76.96479736328125,1.00408935546875,967.066650390625
1760790691036307500,77.91130737304688,0.95123291015625,967.0726776123047
1760790691982686200,78.85768627929687,0.898406982421875,967.0789337158203
1760790692929076200,79.804076171875,0.8428955078125,967.0851135253906
1760790693875487200,80.7504873046875,0.784759521484375,967.0919799804688
1760790694822054100,81.69705419921875,0.763641357421875,967.0944213867188
1760790695768566300,82.64356616210938,0.763641357421875,967.0944213867188
1760790696715135200,83.59013525390625,0.771575927734375,967.0933532714844
1760790697661738200,84.53673828125,0.790069580078125,967.0912933349609
1760790698608373200,85.48337329101562,0.827056884765625,967.0871734619141
1760790699554916400,86.42991625976562,0.86138916015625,967.0831298828125
1760790700501531400,87.37653149414062,0.90631103515625,967.0777130126953
1760790701448338200,88.32333813476562,0.94329833984375,967.0735931396484
1760790702395099100,89.27009912109375,0.96710205078125,967.0709228515625
1760790703341528000,90.21652807617187,0.972381591796875,967.0702362060547
