time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1760789003270674000,-1609.854326171875,1111.1799240112305,-1,-1,46.958515180935066,1062.961353302002,-1,76.10574478201359,53.44315719604492,8.394618775957222,-1
1760790613334924000,0.209924072265625,1111.177993774414,-1,-1,46.97180866842836,1063.0960693359375,-1,5122,53.44315719604492,8.406490917880694,-1
1760790613444731000,0.31973095703125,1111.177993774414,-1,-1,46.97180279395675,1063.0960693359375,-1,5122,53.44315719604492,8.406487175127486,-1
1760790616865566500,3.74056640625,504.2537642073224,0.6656691469408315,-1,46.97089082202035,456.03519349809386,-1,16,26.0633602142334,8.384990087854803,0.6714513897895813
1760790617865557800,4.740557861328125,457.9999526034824,0.6915418416491701,-1,46.97090424890328,409.7813818942539,-1,16,3.1622776985168457,8.384979500102366,0.6714513897895813
1760790618865548500,5.740548583984375,493.7148725796842,0.6839909298864282,-1,46.970908996961086,445.4963018704557,-1,24.000000000000004,3.1622776985168457,8.384961647319694,0.19629070162773132
1760790619865539600,6.74053955078125,497.28636457730437,1.0377948456927897,-1,46.97090817619716,449.06779386807585,-1,16,3.1622776985168457,8.384967771035091,0.27383726835250854
1760790620865530600,7.740530517578125,495.71310372448977,0.23748244390098464,-1,46.97090546818147,447.49453301526125,-1,16.002416547361754,61.09736251831055,8.385019994674828,0.27383726835250854
1760790621865521400,8.740521484375,497.6435137770664,0.16539740737285052,-1,46.97090684298646,449.4249430678379,-1,12.001812410521316,3.1622776985168457,8.385003212355327,0.06600715219974518
1760790623012531000,9.887531005859374,497.6792286970426,0.13115774130774363,-1,46.970888460932315,449.4606579878141,-1,12.001812410521316,3.1622776985168457,8.385057830544262,0.04684431850910187
1760790624012522200,10.887522216796874,497.6828001890402,0.11338438896440065,-1,46.9708852714821,449.4642294798117,-1,8.001208273680877,3.1622776985168457,8.385069248169371,0.011993678286671638
1760790625012519000,11.887518798828125,497.68315733824,0.25908241200050647,-1,46.970885546177755,449.4645866290115,-1,8.001208273680877,3.1622776985168457,8.385070754581115,0.06443531811237335
1760790626012509700,12.887509765625,497.68319305316,0.11398614882042646,-1,46.97088525822505,449.46462234393147,-1,8.001208273680877,3.1622776985168457,8.385074145692627,0.031576141715049744
1760790627012507400,13.88750732421875,497.68319662465194,0.26444327929156153,-1,46.9708826075946,449.4646259154234,-1,8.001208273680877,3.1622776985168457,8.385074241914255,0.13429762423038483
1760790628012497000,14.887496826171875,497.68319698180113,0.11463340339022189,-1,46.97088234631715,449.4646262725726,-1,6.000906205260658,3.1622776985168457,8.385078903437192,0.038435328751802444
1760790629012492000,15.887491943359375,497.6831970175161,0.11486437767996101,-1,46.970884001740735,449.46462630828756,-1,6.000906205260658,3.1622776985168457,8.385076107901222,0.010171063244342804
1760790630012482300,16.887482421875,497.68319702108755,0.11488552955441808,-1,46.97088459664448,449.46462631185904,-1,6.000906205260658,3.1622776985168457,8.385076812134256,0.024009697139263153
1760790631012478000,17.88747802734375,497.6831970214447,0.11473161727815108,-1,46.97088427840756,449.4646263122162,-1,6.000906205260658,3.1622776985168457,8.385077004091313,0.08492789417505264
1760790632012468700,18.88746875,497.68319702148045,0.15663129060477649,-1,46.970884075072725,449.46462631225194,-1,6.000906205260658,3.162083148956299,8.38507343572527,0.0578896664083004
1760790633011713000,19.886713134765625,497.68319702148403,0.18296493223329838,-1,46.97088368242399,449.4646263122555,-1,6.000906205260658,3.1467978954315186,8.385069443328588,0.06821664422750473
1760790634010947300,20.885947265625,497.6831970214844,0.11737747688036322,-1,46.97088210494559,449.46462631225586,-1,8.001208273680877,3.1622776985168457,8.385060467031417,0.16156412661075592
1760790635010201300,21.885201416015626,497.6831970214844,0.2861610893364377,-1,46.97087821145178,449.46462631225586,-1,6.000906205260658,3.126544952392578,8.385055068513852,0.14362558722496033
